"","nzffdRecordNumber","institutionRecordNumber","eventDate","eventTime","institution","samplingPurpose","waterBody","waterBodyType","waterPermanence","site","catchmentNumber","catchmentName","eastingNZTM","northingNZTM","decimalLongitude","decimalLatitude","recSegment","minimumElevation","distanceOcean","siteTidal","siteLandlocked","downstreamBarrier","eventLocationRemarks","siteReachLength","siteAverageWidth","minimumSampledDepth","maximumSampledDepth","waterLevel","waterColour","waterClarity","clarityMethod","waterTemperature","waterConductivity","waterDissolvedOxygenPercent","waterDissolvedOxygenPPM","waterPH","waterSalinity","habitatFlowPercent","habitatSubstratePercent","habitatInstreamCoverPresent","habitatRiparianVegPercent","samplingMethod","samplingProtocol","EfmNumberOfPasses","EfmVoltage","EfmPulseRate","EfmPulseRateWidth","EfmAnodeSize","EfmMinutes","EfmArea","NetsTrapsTotalNumber","NetsTrapsBaited","NetsTrapsMeshSize","NetsTrapsDayNight","NetsTrapsAverageSetTime","ObservationArea","taxonName","taxonCommonName","taxonRemarks","totalCount","present","soughtNotDetected","occurrenceRemarks","minLength","maxLength","indLengths","dataVersion"
"43",20323,"","2001-01-18","night","Department of Conservation Nelson Marlborough","","Anatori River","Not Entered","Perennial",NA,"967.000","Anatori R",1545539,5491074,-40.729467,172.355069,10000821,20,3.6,"n","u","u","",NA,7,NA,2,"Medium","Green",NA,NA,NA,NA,NA,NA,NA,NA,"Boulders (> 257 mm):5, Fine gravel:20, Cobbles (64-257 mm):25, Sand (1-2 mm):10, Bedrock:5, Coarse gravel:35","Bank vegetation:y, Undercut banks:y, Wood/instream debris:y","Riffle:40, Pool:15, Run:40, Backwater:5","Exposed bed:20, Native forest:75, Grass/tussock:5","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,3200,"Galaxias fasciatus","Banded kokopu","",2,"false","false",NA,NA,NA,"","V1"
"44",109321,"3344","2012-10-30","10:41","Department of Conservation Otago","","Kauru River","Not Entered","Unknown",NA,"717.040","Kakanui R",1423679,5004048,-45.095049,170.759149,14223932,85,25.8,"u","u","u","",50,16.09,NA,0.62,"","",NA,NA,13.6,0.45,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",NA,NA,NA,NA,"Large",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",5,"false","false",NA,170,325,"250,325,200,300,170","V1"
"45",28696,"","2007-08-24","day","Department of Conservation Otago","","Monro Creek","Not Entered","Perennial",NA,"873.000","Moeraki R",1300713,5153389,-43.712137,169.285072,12140311,60,4.5,"n","u","n","",NA,4,NA,0.9,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:20, Fine gravel:10, Boulders (> 257 mm):30, Cobbles (64-257 mm):40","Undercut banks:y, Wood/instream debris:y, Macrophytes-algae:n, Bank vegetation:n","Pool:40, Riffle:20, Backwater:10, Rapid:10, Run:20","Native forest:70, Exposed bed:30","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,200,NA,"","",NA,NA,NA,"Cheimarrichthys fosteri","Torrentfish","",1,"false","false",NA,NA,NA,"","V1"
"46",2035,"","2001-01","11:40","Massey University","","Mangatawhiri River","Not Entered","Perennial",NA,"434.120","Waikato R",1792329,5887871,-37.135774,175.165297,3044254,80,67.4,"n","u","u","",NA,4.7,NA,NA,"Unknown","",NA,NA,16.2,NA,NA,NA,7.2,NA,"","","Run:50, Pool:50","Native forest:50, Grass/tussock:50","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,8,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",5,"false","false",NA,NA,NA,"","V1"
"47",21267,"","2005-08-05","14:40","Department of Conservation Canterbury","","Omarama Stream tributary","Not Entered","Perennial",NA,"711.314","Waitaki R",1360072,5071557,-44.469457,169.983554,13182871,410,126.2,"n","u","y","",NA,3.5,NA,0.2,"Medium","Colourless",NA,NA,7.7,0.02,NA,NA,NA,NA,"Cobbles (64-257 mm):80, Coarse gravel:15, Fine gravel:5","Wood/instream debris:y, Macrophytes-algae:n, Bank vegetation:n, Undercut banks:n","Rapid:10, Run:80, Riffle:10","Exposed bed:95, Grass/tussock:5","Electric fishing - Bank generator or mains","Unknown",1,NA,NA,NA,"",NA,15,NA,"","",NA,NA,NA,"Oncorhynchus mykiss","Rainbow trout","",1,"false","false",NA,75,NA,"","V1"
"48",9123,"","2001-12-17","","Department of Conservation Canterbury","","Unnamed pond","Not Entered","Perennial",NA,"664.042","Waimakariri R",1573298,5201780,-43.336353,172.670599,0,5,10.2,"n","u","u","",NA,NA,NA,10,"Medium","",NA,NA,24,NA,NA,NA,NA,NA,"Mud:15, Sand (1-2 mm):80, Fine gravel:5","Wood/instream debris:y, Bank vegetation:y, Macrophytes-algae:y","Still:100","Scrub:95, Raupo/flax:5","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,6,"","",NA,NA,NA,"Gobiomorphus cotidianus","Common bully","",NA,"true","false",NA,NA,NA,"","V1"
"49",113484,"7","2018-03-05","14:37","Department of Conservation Otago","","Benger Burn","Stream","Perennial",NA,"752.400","Clutha River",1311570,4938285,-45.64898,169.298351,14266622,221,124.02,"n","n","y","",NA,6,NA,NA,"Medium","",NA,NA,NA,NA,NA,NA,NA,NA,"Gravel (3-64 mm):70, Cobbles (64-257 mm):20, Boulders (> 257 mm):10","Periphyton:n, Bank vegetation:n, Cobbles:y, Macrophytes:n, Undercut banks:y, Wood/instream debris:n","Pool:90, Riffle:10","Scrub/willow:100","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,6,NA,"","",NA,NA,NA,"Galaxias species D","Clutha flathead galaxias","",4,"false","false",NA,47,94,"47,48,48,94","V1"
"50",102442,"968","2012-05-24","18:30","Department of Conservation Wanganui","","Oakura River","Not Entered","Perennial",NA,"385.000","Oakura R",1686527,5660645,-39.199149,174.002057,6175182,401,14.44,"n","u","u","",150,5.3,NA,1,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Boulders (> 257 mm):60, Bedrock:0, Mud:0, Sand (1-2 mm):5, Coarse gravel:10, Cobbles (64-257 mm):20, Fine gravel:5","Undercut banks:y, Macrophytes-algae:n, Wood/instream debris:y, Bank vegetation:n","Cascade:5, Still:0, Backwater:3, Pool:22, Run:40, Torrent:6, Riffle:24","Native forest:100","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,600,"Paranephrops","Koura","",1,"false","false",NA,NA,NA,"","V1"
"51",109267,"3290","2013-07-23","","Department of Conservation Bay of Plenty","","Waitarere Stream trib of Hamurana Stream","Not Entered","Unknown",NA,"146.070","Kaituna River",1885988,5785734,-38.030986,176.25831,4080426,288,59.74,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Nil","No species recorded","",NA,"false","false",NA,NA,NA,"","V1"
"52",9771,"","1991-12-17","11:15","NIWA","","Grace Darling Stream","Not Entered","Perennial",NA,"092.155","Waihou R",1845995,5861263,-37.362769,175.777696,3050533,160,74.2,"n","u","u","C.",40,NA,NA,NA,"Unknown","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:45, Sand (1-2 mm):10, Fine gravel:45","","Riffle:60, Pool:10, Run:30","","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",5,"false","false",NA,NA,450,"","V1"
"53",33340,"","2011-12-13","day","Hawkes Bay Regional Council","","Tukituki River","Not Entered","Unknown",NA,"232.001","Tukituki River",1897506,5571026,-39.958605,176.48284,8225968,150,86.9,"n","u","n","Trout recruitment survey  HBRC",NA,NA,NA,NA,"Medium","",NA,NA,19.8,0.09,NA,NA,7.9,NA,"Cobbles (64-257 mm):10, Sand (1-2 mm):20, Fine gravel:35, Coarse gravel:35","","","Exotic forest:100","Electric fishing - Backpack","Unknown",NA,NA,NA,NA,"",NA,270,NA,"","",NA,NA,NA,"Retropinna retropinna","Common smelt","",1,"false","false",NA,NA,NA,"","V1"
"54",108246,"2305","1989-01","","Fish and Game Southland","","Centre Burn","Not Entered","Unknown",NA,"789.603","Aparima R",1219349,4934677,-45.636936,168.115798,15269599,374,121.96,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Type unknown","Unknown",NA,NA,NA,NA,"",NA,60,NA,"","",NA,NA,NA,"Galaxias","Unidentified galaxiid","",NA,"true","false",NA,NA,NA,"","V1"
"55",105671,"2097","2005-02-15","11:28","Waikato University","","Waikato River","Not Entered","Unknown",NA,"434.000","Waikato River",1782768,5869008,-37.307614,175.062344,3048638,16,45.48,"u","u","u","",451,NA,NA,1,"","",NA,NA,22.7,1.65,NA,NA,NA,NA,"","","","","Electric fishing - Boat","Unknown",NA,NA,NA,NA,"",NA,1804,NA,"","",NA,NA,NA,"Galaxias maculatus","Inanga","",8,"false","false",NA,NA,NA,"","V1"
"56",8422,"","1992-10-21","night","Waikato University","","Lake D outlet","Not Entered","Perennial",NA,"434.211","Waikato R",1797635,5828069,-37.673302,175.240985,5,30,100.2,"n","u","u","",NA,NA,NA,0.3,"Unknown","",NA,NA,14,0.11,NA,NA,6.7,NA,"","","","","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,5,"","",NA,NA,NA,"Gobiomorphus","Unidentified bully","",5,"false","false",NA,NA,NA,"","V1"
"57",19421,"","2004-01-15","","Department of Conservation Canterbury","","Unnamed pond","Not Entered","Perennial",NA,"666.000","Avon R",1558704,5179788,-43.53371,172.488907,13126343,40,30.2,"n","u","u","",NA,NA,NA,0.9,"High","",NA,NA,19,NA,NA,NA,NA,NA,"Cobbles (64-257 mm):15, Fine gravel:5, Coarse gravel:10, Mud:70","Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y, Undercut banks:n","Run:10, Still:90","Scrub:10, Grass/tussock:80, Other:10","Other net - Hand net","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Gobiomorphus breviceps","Upland bully","",2,"false","false",NA,NA,NA,"","V1"
"58",100505,"100116","2000-02-11","","Canterbury University","","Unnamed pond Waianiwaniwa River","Not Entered","Unknown",NA,"680.050","Selwyn R",1517824,5189408,-43.443721,171.984474,13122099,340,89.1,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,10,"","",NA,NA,NA,"Neochanna burrowsius","Canterbury mudfish","",38,"false","false",NA,NA,122,"","V1"
"59",24041,"","2004-12-08","night","NIWA","","Nukuhou River","Not Entered","Perennial",NA,"156.010","Ohiwa Hbr",1960622,5782287,-38.035363,177.108556,4083446,3,2,"n","u","n","",153,11.6,NA,1.5,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:30, Sand (1-2 mm):70","Macrophytes-algae:y, Wood/instream debris:n, Undercut banks:n, Bank vegetation:y","Run:76, Pool:24","Exposed bed:5, Grass/tussock:10, Scrub:85","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,25,"","",NA,NA,NA,"Gobiomorphus cotidianus","Common bully","",33,"false","false",NA,47,105,"","V1"
"60",13858,"","1996-01-31","13:30","Department of Conservation Canterbury","","Tasman River","Not Entered","Perennial",NA,"711.380","Waitaki R",1368223,5146869,-43.794928,170.119037,13143444,610,195.4,"n","u","u","",NA,NA,NA,NA,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,100,NA,"","",NA,NA,NA,"Galaxias prognathus","Upland longjaw galaxias","",NA,"true","false",NA,NA,NA,"","V1"
"61",6521,"","1992-02-20","16:00","NIWA","","Unnamed stream Scotts Beach","Not Entered","Perennial",NA,"955.500","Scotts Bch",1524847,5450895,-41.089741,172.105192,12008214,5,0.3,"n","u","u","",47,4.8,NA,0.9,"High","Tea coloured or brown",NA,NA,14.5,NA,NA,NA,7,NA,"Coarse gravel:2, Cobbles (64-257 mm):40, Sand (1-2 mm):8, Boulders (> 257 mm):50","Bank vegetation:n, Macrophytes-algae:n, Undercut banks:n, Wood/instream debris:n","Cascade:100","Exposed bed:40, Raupo/flax:40, Native forest:20","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias brevipinnis","Koaro","",37,"false","false",NA,NA,NA,"","V1"
"62",31964,"","2007-08-13","12:50","Bioresearches","","Lucas Creek tributary","Not Entered","Perennial",NA,"078.030","Waitemata Hbr",1750221,5932264,-36.743478,174.682625,2036089,10,0.3,"n","u","y","Site 2",55,0.8,NA,0.7,"Medium","Colourless",NA,NA,14.1,0.14,NA,NA,NA,NA,"Mud:100","Undercut banks:y, Bank vegetation:y, Macrophytes-algae:y, Wood/instream debris:n","Riffle:30, Run:65, Pool:5","Grass/tussock:75, Scrub:25","Electric fishing - combination of nets traps and electric fishing","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla","Unidentified eel","",2,"false","false",NA,NA,NA,"","V1"
"63",31316,"","2009-04-28","12:38","Auckland Regional Council","","Konini Stream","Not Entered","Unknown",NA,"434.133","Waikato R",1795161,5895287,-37.068387,175.19523,3042737,218,95,"n","u","u","",75,NA,NA,NA,"Unknown","",NA,NA,14.1,0.11,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",1,"false","false",NA,790,NA,"","V1"
"64",886,"","1978-02-15","13:00","Fish and Game Auckland Waikato","","Komata River","Not Entered","Perennial",NA,"092.130","Waihou R",1840189,5862753,-37.350874,175.711722,3050253,80,43.4,"n","u","u","CV.",330,2,NA,1,"Low","Colourless",NA,NA,23,NA,NA,NA,NA,NA,"Cobbles (64-257 mm):10, Mud:5, Sand (1-2 mm):15, Coarse gravel:10, Boulders (> 257 mm):50, Fine gravel:10","","Run:50, Rapid:5, Riffle:20, Pool:25","","Observation - Snorkel or dive","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias brevipinnis","Koaro","1 shoal seen.",NA,"false","false",NA,NA,NA,"","V1"
"65",5701,"","1984-08-29","15:30","Fish and Game West Coast","","Callaghans Creek","Not Entered","Perennial",NA,"914.160","Grey R",1476538,5307859,-42.371746,171.500487,12070151,50,34.8,"n","u","u","CV.",250,7,NA,1.5,"Unknown","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Boulders (> 257 mm):5, Coarse gravel:48, Fine gravel:47","","Riffle:60, Run:10, Pool:30","","Electric fishing - Type unknown","Unknown",0,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",12,"false","false",NA,145,200,"","V1"
"66",14310,"","2000-04-18","night","Department of Conservation Northland","","Lake Mokeno","Not Entered","Perennial",NA,"468.000","L Mokeno",1694961,5976756,-36.349589,174.058301,1031515,5,8,"n","u","u","",NA,NA,NA,6,"Low","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:50, Sand (1-2 mm):50","Undercut banks:y, Macrophytes-algae:y, Bank vegetation:y","Still:100","Scrub:20, Raupo/flax:80","Other net - Unknown type of net","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",NA,"true","false",NA,NA,700,"","V1"
"67",10108,"","1989-11-17","15:00","Waikato University","","Wainui Stream","Not Entered","Perennial",NA,"423.000","Raglan Hbr",1760257,5810910,-37.835174,174.821161,3064649,80,5.5,"n","u","u","",NA,2,NA,0.8,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"","","","Native forest:100","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,1000,NA,"","",NA,NA,NA,"Galaxias fasciatus","Banded kokopu","",NA,"true","false",NA,83,188,"","V1"
"68",19017,"","1999-05-17","19:00","Massey University","","Mangatoetoe Stream tributary","Not Entered","Perennial",NA,"285.000","Mangatoetoe S",1790769,5396882,-41.556987,175.28761,9268707,280,6.7,"n","u","u","",NA,1.5,NA,0.5,"Low","",NA,NA,NA,NA,NA,NA,NA,NA,"Cobbles (64-257 mm):20, Coarse gravel:20, Fine gravel:20, Boulders (> 257 mm):40","Undercut banks:n, Bank vegetation:n, Wood/instream debris:n, Macrophytes-algae:n","Run:25, Pool:50, Riffle:25","Native forest:100","Observation - Observation","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,500,"Anguilla","Unidentified eel","",1,"false","false",NA,NA,NA,"","V1"
"69",10325,"","1989-06-24","20:00","Otago University","","Jenkins Creek","Not Entered","Perennial",NA,"891.110","Okarito R",1375426,5207485,-43.25199,170.233508,12114302,30,9.2,"n","u","u","",NA,2.5,NA,1.5,"Medium","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Sand (1-2 mm):10, Fine gravel:20, Boulders (> 257 mm):10, Cobbles (64-257 mm):30, Coarse gravel:30","Undercut banks:y, Macrophytes-algae:n, Bank vegetation:y, Wood/instream debris:y","Pool:20, Run:40, Cascade:5, Riffle:20, Backwater:15","Native forest:100","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,500,"","",NA,NA,NA,"Galaxias fasciatus","Banded kokopu","",NA,"true","false",NA,NA,NA,"","V1"
"70",15029,"","1995-12-06","08:00","Department of Conservation Northland","","Kaipatiki Creek","Not Entered","Perennial",NA,"037.011","Waitangi R",1696674,6093812,-35.294202,174.063221,1008831,0,0.7,"n","u","u","",NA,3,NA,1.6,"Medium","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Fine gravel:50, Coarse gravel:20, Mud:10, Sand (1-2 mm):20","Undercut banks:y, Macrophytes-algae:y, Wood/instream debris:y, Bank vegetation:y","Run:10, Pool:10, Still:20, Backwater:60","Native forest:100","Traps - Bait trap (Killwell)","Unknown",NA,NA,NA,NA,"",NA,NA,14,"","",NA,NA,NA,"Paranephrops","Koura","",2,"false","false",NA,NA,NA,"","V1"
"71",4477,"","1998-11-17","10:20","Bioresearches","","Oakley Creek","Not Entered","Perennial",NA,"081.010","Auckland",1753876,5915096,-36.897587,174.727022,2038703,50,6.4,"n","u","u","",20,3.2,NA,0.3,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Bedrock:90, Coarse gravel:5, Fine gravel:5","Bank vegetation:n, Wood/instream debris:y, Macrophytes-algae:y, Undercut banks:n","Run:100","Grass/tussock:100","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Gambusia affinis","Gambusia","",NA,"true","false",NA,25,45,"","V1"
"72",2118,"","1987-09-10","22:00","Fish and Game Central South Island","","Fork Stream","Not Entered","Perennial",NA,"711.393","Waitaki R",1386929,5139270,-43.868898,170.348267,13147843,1015,200.3,"n","u","u","CV.",NA,0.6,NA,0.3,"Low","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Boulders (> 257 mm):65, Coarse gravel:15, Fine gravel:15, Sand (1-2 mm):5","","Riffle:30, Still:70","","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias vulgaris","Canterbury galaxias","",NA,"true","false",NA,100,150,"","V1"
"73",17212,"","1998-03-19","13:46","Department of Conservation Nelson Marlborough","","Unnamed wetland","Not Entered","Perennial",NA,"973.000","Whanganui In",1556133,5500069,-40.649069,172.481148,10000387,15,3.4,"n","u","u","",NA,NA,NA,NA,"Medium","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:90, Sand (1-2 mm):10","Wood/instream debris:n, Bank vegetation:n, Macrophytes-algae:y, Undercut banks:n","Still:100","Raupo/flax:100","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,10,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",8,"false","false",NA,NA,NA,"","V1"
"74",34508,"","2011-03-04","08:21","Kessels and Associates","","Pepe Stream","Not Entered","Unknown",NA,"122.000","Pepe S",1850725,5900679,-37.006634,175.817822,3041681,27,3.1,"u","u","u","",NA,5.4,NA,NA,"Unknown","",NA,NA,17.9,NA,NA,NA,6.9,NA,"","","","","Electric fishing - Backpack","Unknown",NA,NA,NA,NA,"",NA,815,NA,"","",NA,NA,NA,"Anguilla","Unidentified eel","",4,"false","false",NA,NA,NA,"","V1"
"75",5906,"","1974-03","","NIWA","","Wairoa Stream","Not Entered","Perennial",NA,"214.042","Wairoa R",1956007,5705385,-38.728496,177.094957,8141752,590,88,"n","u","u","C.",40,3,NA,1.5,"Unknown","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Fine gravel:25, Sand (1-2 mm):50, Coarse gravel:25","","Pool:50, Run:50","","Other net - Hand net","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Oncorhynchus mykiss","Rainbow trout","",NA,"true","false",NA,NA,NA,"","V1"
"76",5621,"","1983-11-25","07:40","NIWA","","Benger Burn","Not Entered","Perennial",NA,"752.400","Clutha R",1315447,4938824,-45.645739,169.34832,14266928,90,110.6,"n","u","u","",100,10.7,NA,0.3,"Low","Colourless",NA,NA,10.2,NA,NA,NA,NA,NA,"","","","","Electric fishing - Type unknown","Unknown",3,NA,NA,NA,"",NA,1070,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",176,"false","false",NA,35,54,"","V1"
"77",2394,"","2001-03","09:44","Massey University","","Pakiri River tributary","Not Entered","Perennial",NA,"063.000","Pakiri R",1752524,5985784,-36.260832,174.697845,2030128,20,4.7,"n","u","u","",NA,1.7,NA,NA,"Unknown","",NA,NA,17.8,NA,NA,NA,8.4,NA,"","","Pool:100","Exotic forest:100","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,8,"","",NA,NA,NA,"Galaxias maculatus","Inanga","",4,"false","false",NA,NA,NA,"","V1"
"78",10823,"","1992-11-24","13:30","NIWA","","Nelson Creek tributary","Not Entered","Perennial",NA,"914.150","Grey R",1485833,5294261,-42.495594,171.610644,12076022,220,52.4,"n","u","u","",NA,2,NA,2,"Medium","Tea coloured or brown",NA,NA,17,0.03,NA,NA,NA,NA,"Sand (1-2 mm):10, Fine gravel:10, Coarse gravel:30, Cobbles (64-257 mm):50","Macrophytes-algae:n, Wood/instream debris:y, Undercut banks:n, Bank vegetation:n","Riffle:10, Run:70, Pool:20","Exposed bed:10, Native forest:60, Scrub:30","Electric fishing - Bank generator or mains","Unknown",1,NA,NA,NA,"",NA,50,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",NA,"true","false",NA,NA,NA,"","V1"
"79",10412,"","2002-01-25","day","NIWA","","Kuaotunu River tributary","Not Entered","Perennial",NA,"114.000","Kuaotunu R",1844254,5930387,-36.740839,175.73561,3036442,20,2.9,"n","u","u","",90,1.6,NA,0.4,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,"Fine gravel:26, Mud:21, Coarse gravel:53","Undercut banks:y, Bank vegetation:y, Macrophytes-algae:n, Wood/instream debris:y","Riffle:25, Pool:20, Run:55","","Electric fishing - Bank generator or mains","Unknown",2,NA,NA,NA,"",NA,149,NA,"","",NA,NA,NA,"Paranephrops","Koura","",NA,"true","false",NA,NA,NA,"","V1"
"80",19526,"","1999-11-02","13:00","Department of Conservation West Coast","","Arahura River tributary","Not Entered","Perennial",NA,"908.000","Arahura R",1437238,5273074,-42.677592,171.013513,12084984,5,1.9,"n","u","u","",100,2.5,NA,0.6,"High","Tea coloured or brown",NA,NA,15,NA,NA,NA,NA,NA,"Mud:15, Cobbles (64-257 mm):35, Fine gravel:5, Coarse gravel:40, Sand (1-2 mm):5","Macrophytes-algae:y, Bank vegetation:y, Wood/instream debris:y","Backwater:10, Pool:10, Riffle:5, Run:75","Exposed bed:70, Grass/tussock:30","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",9,"false","false",NA,250,800,"","V1"
"81",20682,"","2005-02-08","09:30","NIWA","","Waikato River tributary","Not Entered","Perennial",NA,"434.000","Waikato R",1789745,5832412,-37.63585,175.15045,3057237,18,94.1,"n","u","n","",35,1.2,NA,0.3,"Low","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:10, Coarse gravel:10, Sand (1-2 mm):20, Fine gravel:50, Cobbles (64-257 mm):10","Macrophytes-algae:y, Undercut banks:y, Wood/instream debris:n, Bank vegetation:y","Riffle:30, Pool:60, Run:10","Native forest:30, Grass/tussock:70","Electric fishing - Backpack","Unknown",2,NA,NA,NA,"",NA,42,NA,"","",NA,NA,NA,"Retropinna retropinna","Common smelt","",48,"false","false",NA,48,84,"","V1"
"82",11178,"","1991-11-20","07:30","NIWA","","Avon River","Not Entered","Perennial",NA,"666.000","Avon R",1568600,5180888,-43.524287,172.611444,13125998,6,19.8,"n","u","u","",NA,7.4,NA,NA,"Low","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:45, Fine gravel:45, Mud:10","Undercut banks:y, Wood/instream debris:n, Macrophytes-algae:y, Bank vegetation:y","Riffle:22, Pool:4, Run:74","Scrub:40, Grass/tussock:40, Other:20","Electric fishing - Backpack","Unknown",2,NA,NA,NA,"",NA,1462,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",417,"false","false",NA,36,363,"","V1"
"83",518,"","1979-11-28","12:00","NIWA","","Rakaia River","Not Entered","Perennial",NA,"685.000","Rakaia R",1488623,5183783,-43.490582,171.622549,13124782,290,79.1,"n","u","u","",30,15,NA,0.4,"High","Green",NA,NA,14,NA,NA,NA,NA,NA,"Cobbles (64-257 mm):80, Boulders (> 257 mm):20","Macrophytes-algae:n, Wood/instream debris:n, Undercut banks:n, Bank vegetation:n","Rapid:100","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Oncorhynchus tshawytscha","Chinook salmon","",NA,"true","false",NA,NA,NA,"","V1"
"84",2949,"","1976-11-03","day","NIWA","","Taringamotu River","Not Entered","Perennial",NA,"333.651","Whanganui R",1813500,5701251,-38.81166,175.458923,7144702,340,284.8,"n","u","u","",NA,NA,NA,NA,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",6,"false","false",NA,NA,NA,"","V1"
"85",18390,"","2001-02-27","09:30","Bioresearches","","Pakuranga Creek","Not Entered","Perennial",NA,"082.010","Tamaki R",1769775,5915228,-36.89367,174.905348,2038679,20,2.5,"n","u","n","",50,1.5,NA,0.4,"Unknown","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Fine gravel:65, Cobbles (64-257 mm):20, Boulders (> 257 mm):10, Bedrock:5","Undercut banks:n, Bank vegetation:y, Macrophytes-algae:n, Wood/instream debris:n","Run:100","Grass/tussock:100","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Gambusia affinis","Gambusia","",NA,"true","false",NA,40,NA,"","V1"
